incorrect	correct
chuyen di chuyen lai	chuyển đi chuyển lại
hang chinh hang	hàng chính hãng
giaohangnhanh	giao hàng nhanh
chuyen nghiep	chuyên nghiệp
the tinh dung	thẻ tín dụng
kiẻm tra hang	kiểm tra hàng
kiem tra hang	kiểm tra hàng
huy don hang	hủy đơn hàng
cảm ơn nhieu	cảm ơn nhiều
nghiêm chinh	nghiêm chỉnh
nghiem chinh	nghiem chỉnh
nhân vien gh	nhân viên giao hàng
nhan vien gh	nhân viên giao hàng
cho xem hang	cho xem hàng
khonglaisuat	không lãi suất
khongmuahang	không mua hàng
hang di giao	hàng đi giao
gia sản phẩm	giá sản phẩm
nhanh chong	nhanh chóng
ma giam gia	mã giảm giá
nhu cái lôn	như cái lồn
nhu con cac	như con cặc
trai nghiêm	trải nghiệm
bìnhvthường	bình thường
vậnchuyeern	vận chuyển
đitconmemay	địt con mẹ mày
địtconmẹmầy	địt con mẹ mày
chidaisendo	chị đại sendo
rattuietvoi	rất tuyệt vời
tuong thích	tương thích
quảng caocl	quảng cáo
chat luong	chất lượng
khach hang	khách hàng
giai quyet	giải quyết
khach hàng	khách hàng
khuyen mai	khuyến mãi
van chuyen	vận chuyển
đien thoại	điện thoại
điẹn thoại	điện thoại
diện thoại	điện thoại
chat lượng	chất lượng
cung nhieu	cũng nhiều
chật lượng	chất lượng
diên thoại	điện thoại
van chuyển	vận chuyển
chinh hang	chính hãng
that la te	thật là tệ
binhthuong	bình thường
bìnhthuong	bình thường
chấtbluong	chất lượng
chuyenvdoi	chuyển đổi
chuẩnnhưng	chuẩn nhưng
chưavdungf	chưa đúng
cổngonline	cổng trực tuyến
giaobthiếu	giao thiếu
nguoinkhac	người khác
nhanhchong	nhanh chóng
thivtruong	thị trường
ứngdụngrất	ứng dụng rất
tinhnguyen	tình nguyện
trainghiem	trải nghiệm
quatienloi	quá tiện lợi
thoavthich	thỏa thích
ungdungtot	ứng dụng tốt
mac qua di	mắc quá đi
chát lượng	chất lượng
uqngs dung	ứng dụng
quảng caoa	quảng cáo
thất vọnga	thất vọng
hang chuẩn	hàng chuẩn
tuyet voi	tuyệt vời
quang cao	quảng cáo
rat thich	rất thích
giao dich	giao dịch
tin tuong	tin tưởng
giao hang	giao hàng
quang cáo	quảng cáo
that vong	thất vọng
đeo thích	đéo thích
đeo thich	đéo thích
deo thich	đéo thích
can thiet	cần thiết
dang nhap	đăng nhập
quãng cáo	quảng cáo
thong tin	thông tin
quyen loi	quyền lợi
quyen loj	quyền lợi
nhan vien	nhân viên
tiep theo	tiếp theo
cải thiên	cải thiện
xung dang	xứng đáng
cung tien	cũng tiện
nhanh hon	nhanh hơn
chưng bày	trưng bày
ngân hành	ngân hàng
thiện trí	thiện chí
đàn hoàng	đàng hoàng
kiểm hang	kiểm hàng
thong bao	thông báo
kiem hang	kiểm hàng
rất la te	rất là tệ
rát thích	rất thích
chuyểnđổi	chuyển đổi
chuẩnluôn	chuẩn luôn
chấtlượng	chất lượng
khuyenmai	khuyến mãi
khuyệnmai	khuyến mãi
kháchhàng	khách hàng
khôngbiết	không biết
khôngnhắn	không nhắn
khôngđúng	không đúng
khôngđăng	không đăng
nguyênzin	nguyên zin
nhieuquas	nhiều quá
nhuconcac	như con cặc
thuậntien	thuận tiện
vậnchuyen	vận chuyển
đienthoai	điện thoại
chatluong	chất lượng
