char	correct_char
ð	đ
ʍ	m
ʊ	u
ẻ	ẻ
àk	 à 
aˋ	à
iˋ	ì
ă´	ắ
ử	ử
e˜	ẽ
y˜	ỹ
a´	á
ˋe	è
ɨ	i
ç	c
ռ	n
ք	p
ɦ	h
ʏ	y
ҡ	k
ċ	c
η	n
ლ	m
β	b
α	a
ʋ	v
ß	b
ü	u
ö	o
ů	u
ň	n
ť	t
ț	t
ţ	t
ɑ	a
š	s
ʀ	r
ř	r
ℜ	r
ø	o
ɮ	b
ľ	l
ķ	k
ĥ	h
ɖ	d
å	a
ä	a
ą	a
ā	a
ć	c
ď	d
ė	e
ę	e
ī	i
į	i
ï	i
ı	i
ų	u
𝓬	c
ѳ	o
ɗ	d
ě	e
ë	e
ğ	g
ģ	g
ɡ	g
ɢ	g
î	i
ʟ	l
ź	z
iạ	ịa
ª	
𝓲	i
𝓫	b
𝓾	u
𝓭	d
𝔂	y
đđ	đ
ĕ	e
ē	e
êê	ê
ơơ	ơ
ł	l
𝓽	t
𝓷	n
𝓵	l
ɳ	n
ñ	n
𝓪	a
𝓠	q
ýý	ý
𝓰	g
𝓱	h
𝓶	m
ʆ	l
ε	e
bữa	bữa
lỗi	lỗi
ở	ở
đâù	đầu
đâý	đấy
đâỳ	đầy
đêń	đến
đêù	đều
đêủ	đểu
đìê	điền
đỉê	điể
địê	điệ
đóđ	đó
đổỉ	đổi
đợị	đợi
đừơ	đườ
đừờ	đườ
đựơ	đượ
đựợ	đượ
đʊợ	đượ
ựoc	ược
òan	oàn
ươì	ười
ườì	ười
ươở	ưở
êú	ếu
êù	ều
êū	ễu
êủ	ểu
êụ	ệu
íá	ía
íê	iế
ìê	iề
ìề	iề
ĩê	iễ
ỉê	iể
ỉề	iề
ịê	iệ
ịệ	iệ
ő	ó
óá	óa
ọă	oặ
ọạ	ọa
ôí	ối
ôì	ồi
ôĩ	ỗi
ôị	ội
ỗỉ	ổi
ơí	ới
ơì	ời
ơị	ợi
ợị	ợi
ôǹ	ồn
ôô	ô
úấ	uấ
ưá	ứa
ưà	ừa
ưã	ữa
ưả	ửa
ưạ	ựa
ưó	ướ
ưò	ườ
ưô	ươ
ưố	ướ
ưõ	ưỡ
ứơ	ướ
ứớ	ướ
ừơ	ườ
ừờ	ườ
ửơ	ưở
ửở	ưở
ựơ	ượ
ựợ	ượ
ưũ	ữu
ưư	ư
ưữ	ữu
ưử	ửu
ýê	yế
ỳê	yề
ỷê	yể
ỵê	yệ
ỵệ	yệ
àà	à
ăă	ă
ââ	â
âṇ	ận
âú	ấu
âũ	ẫu
âủ	ẩu
âý	ấy
âỳ	ầy
âỵ	ậy
ấý	ấy
ậỵ	ậy
óan	oán
